Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
CDSL,NSE:CDSL,CDSL,EQ,2025-11-07,1532.9,1525.0,1612.0,1508.0,1577.8,1578.8,1569.19,3992633,62652.2,103776,989505.0,24.78
CDSL,NSE:CDSL,CDSL,EQ,2025-11-10,1578.8,1580.4,1607.2,1580.4,1587.0,1589.8,1595.34,1566128,24985.05,46901,556286.0,35.52
CDSL,NSE:CDSL,CDSL,EQ,2025-11-11,1589.8,1590.0,1606.4,1576.0,1600.9,1600.9,1595.14,1310637,20906.49,38815,506888.0,38.67
CDSL,NSE:CDSL,CDSL,EQ,2025-11-12,1600.9,1616.0,1659.9,1610.0,1654.0,1655.3,1641.52,4718903,77461.71,109444,2085715.0,44.2
CDSL,NSE:CDSL,CDSL,EQ,2025-11-13,1655.3,1659.5,1665.0,1621.0,1624.7,1626.3,1647.42,2358185,38849.26,73674,848243.0,35.97
CDSL,NSE:CDSL,CDSL,EQ,2025-11-14,1626.3,1626.0,1648.8,1616.0,1627.0,1625.8,1631.93,1521310,24826.72,43765,512249.0,33.67
CDSL,NSE:CDSL,CDSL,EQ,2025-11-17,1625.8,1629.8,1640.0,1621.0,1631.8,1631.5,1630.58,1219735,19888.79,35033,378889.0,31.06
CDSL,NSE:CDSL,CDSL,EQ,2025-11-18,1631.5,1633.0,1633.4,1601.0,1603.0,1605.7,1614.27,1562523,25223.31,44811,604629.0,38.7
CDSL,NSE:CDSL,CDSL,EQ,2025-11-19,1605.7,1605.0,1631.9,1589.1,1620.6,1622.8,1614.94,1551858,25061.6,42265,388097.0,25.01
CDSL,NSE:CDSL,CDSL,EQ,2025-11-20,1622.8,1627.0,1673.7,1625.0,1643.0,1640.1,1656.0,4399462,72855.15,103702,1264478.0,28.74
CDSL,NSE:CDSL,CDSL,EQ,2025-11-21,1640.1,1636.0,1639.5,1608.0,1610.0,1610.2,1625.61,1455188,23655.62,46838,603032.0,41.44
CDSL,NSE:CDSL,CDSL,EQ,2025-11-24,1610.2,1611.0,1626.0,1582.5,1585.6,1587.6,1602.72,1225592,19642.76,42495,466583.0,38.07
CDSL,NSE:CDSL,CDSL,EQ,2025-11-25,1587.6,1587.0,1597.2,1570.3,1575.8,1574.1,1582.21,1245972,19713.94,40512,408581.0,32.79
CDSL,NSE:CDSL,CDSL,EQ,2025-11-26,1574.1,1580.0,1625.8,1577.8,1619.5,1619.9,1614.85,1900973,30697.79,47664,611959.0,32.19
CDSL,NSE:CDSL,CDSL,EQ,2025-11-27,1619.9,1625.0,1632.3,1605.5,1625.0,1624.6,1620.67,1440230,23341.34,43626,493085.0,34.24
CDSL,NSE:CDSL,CDSL,EQ,2025-11-28,1624.6,1628.9,1629.7,1611.0,1617.0,1617.2,1617.78,736163,11909.49,28515,241166.0,32.76
CDSL,NSE:CDSL,CDSL,EQ,2025-12-01,1617.2,1620.0,1638.9,1596.5,1601.7,1604.5,1617.1,1240350,20057.7,42873,505787.0,40.78
