symbol,segment,entry_date,entry,cause_gain,cause_bars,cons_bars,cons_dd,lf_ratio,base_num,undercut10,undercut20,undercut50,prior_narrow,relvol_entry,turn20_cr,adr20,purple_red_10d,shallow,mfe,mae,reached_10,dip_before_10,reached_20,dip_before_20,giveback_after_10,r_2,days_2,hit2_2,r_3,days_3,hit2_3,r_5,days_5,hit2_5,r_8,days_8,hit2_8,breadth,idx_above20,year,undercut_rule_ok,liquid_25cr,fast_adr,lf_expanded,early_base,relvol_confirm,clean_cq
BLS,smallcap,2024-08-19,382.7614371573979,0.4723869903722939,46,5,0.11753204033624398,2.544644755557554,1,True,False,False,True,1.4356955878068174,167.9596086371602,4.389844078812803,False,True,0.22722110290491182,-0.12381997685397217,True,-0.009043927648578753,True,-0.009043927648578753,False,3.333333333333333,5,True,3.333333333333333,7,True,2.0732130056382454,10,True,0.6666666666666666,24,True,0.5174216,True,2024,True,True,True,True,True,True,True
BATAINDIA,smallcap,2019-09-20,1450.8165471659859,0.26351573834176967,33,6,0.044243361401344106,1.0743916934613702,3,True,True,False,True,1.9399656088849835,80.75850086734314,1.9082707156322245,False,True,0.17335056252061354,-0.023285795020582034,True,-0.023285795020582034,False,-0.023285795020582034,False,-1.0,0,False,3.333333333333333,1,True,2.15567041680409,40,True,1.320773978146215,60,True,0.809633,True,2019,True,True,False,False,False,True,True
BAYERCROP,smallcap,2025-07-15,6121.653401974257,0.4797727520230588,46,6,0.05774841901768957,2.386900044575481,1,True,False,False,True,1.2006427095819838,34.14309415378174,2.8051287369785505,False,True,0.036132161745002334,-0.19468039804910486,False,-0.19468039804910486,False,-0.19468039804910486,False,-0.9999999999999996,13,False,-0.9999999999999996,16,False,-0.9999999999999994,16,False,-0.9999999999999996,17,False,0.70033115,True,2025,True,True,False,True,True,True,True
BSOFT,smallcap,2017-10-24,69.42595289505391,0.28399859290078666,40,8,0.062125780728846114,0.2750690448214332,1,True,False,False,True,1.7558246934882136,11.002535903679618,3.284819039850837,False,True,0.4140075366269784,-0.013229910173254922,True,-0.013229910173254922,True,-0.013229910173254922,False,3.333333333333333,4,True,3.333333333333333,5,True,3.333333333333333,10,True,3.333333333333333,25,True,0.71392405,True,2017,True,False,False,False,True,True,True
BLUEJET,smallcap,2024-07-01,407.350213933045,0.2738779362261341,12,6,0.11833786323792417,1.6672466840276925,1,True,True,False,True,1.2861322463665756,6.866709753460845,4.7811102745356475,False,True,0.317108917243371,-0.021646119169887124,True,-0.021646119169887124,True,-0.021646119169887124,True,2.555175325709525,7,True,2.0367835504730163,7,True,3.333333333333333,22,True,2.2847617771378035,26,True,0.80316347,True,2024,True,False,True,True,True,True,True
BBTC,smallcap,2018-01-08,1596.6839677784674,0.32774114952590083,57,6,0.09328392276019304,0.5182106969540872,5,True,False,False,True,2.264116148952933,38.148011914019165,3.965987564630534,False,True,0.11352588618629089,-0.27650409358957284,True,-0.026832400344406926,False,-0.27650409358957284,True,-1.0,0,False,2.261398735403232,3,True,0.6666666666666666,7,True,-0.9999999999999992,7,False,0.8822055,True,2018,True,True,True,False,False,True,True
BBTC,smallcap,2024-01-11,1554.682824304932,0.42729185093025546,51,5,0.07455785922533886,3.949015240626665,4,True,False,False,True,1.3815823842858637,45.51128089878906,5.2637989738891235,False,True,0.16085174384225187,-0.035709863427723865,True,-0.035709863427723865,False,-0.035709863427723865,False,2.100946604133939,3,True,0.6666666666666666,4,True,2.072344958948345,28,True,0.6666666666666666,41,True,0.7338129,True,2024,True,True,True,True,False,True,True
MAPMYINDIA,smallcap,2024-07-23,2296.8150680110166,0.5367476127490063,43,5,0.1690892406158988,8.397129354950865,4,True,True,False,True,4.021468915712851,77.10647388426514,4.321052035891745,False,True,0.11029158404256356,-0.13961678503156427,True,-0.028115255325832034,False,-0.13961678503156427,True,-1.0,0,False,2.1882837196993616,2,True,0.6666666666666666,7,True,-1.0000000000000002,16,False,0.40805605,False,2024,True,True,True,True,False,True,True
CCL,smallcap,2020-09-25,245.35046794959436,0.2758311524967296,57,6,0.14788745588822638,0.9881231291393854,2,True,True,True,True,2.0236277671508685,4.660157220911789,5.556734086899265,False,True,0.07528124469707986,-0.09454878048756332,False,-0.09454878048756332,False,-0.09454878048756332,False,2.2546874116179967,5,True,0.6666666666666666,7,True,-1.0000000000000002,15,False,-0.9999999999999997,25,False,0.2706935,False,2020,True,False,True,False,True,True,True
CCL,smallcap,2025-12-23,984.341320535411,0.26670761110238717,44,7,0.08964180288820045,1.8073707930844891,4,True,True,True,True,1.5039527344004013,22.639207962056272,3.479458297263046,False,True,0.07294834186260135,-0.08409324449479616,False,-0.08409324449479616,False,-0.08409324449479616,False,-1.0,0,False,-1.0,0,False,-1.0000000000000002,2,False,-1.0,6,False,0.5844371,True,2025,True,False,False,True,False,True,True
